Open,Minimum,Maximum,Close,Date,Position
"2,199,000","2,197,600","2,228,100","2,209,400",2018/06/20,High
"2,179,100","2,166,700","2,209,400","2,196,700",2018/06/19,High
"2,120,000","2,118,200","2,173,600","2,173,400",2018/06/18,High
"2,114,500","2,106,700","2,145,000","2,119,800",2018/06/17,High
"2,054,700","2,047,800","2,111,300","2,106,700",2018/06/16,High
"2,067,900","2,053,600","2,067,900","2,062,800",2018/06/15,Low
"2,091,000","2,062,800","2,091,000","2,063,500",2018/06/14,Low
"2,120,500","2,076,600","2,125,100","2,091,400",2018/06/13,Low
"2,107,300","2,100,700","2,178,200","2,119,800",2018/06/12,High
"2,053,300","2,052,900","2,111,300","2,103,000",2018/06/11,High
"2,027,000","2,025,900","2,069,300","2,046,600",2018/06/10,High
"2,014,300","2,014,300","2,051,200","2,035,100",2018/06/09,High
"1,979,400","1,977,400","2,015,500","2,015,500",2018/06/08,High
"1,991,200","1,976,000","1,994,000","1,982,000",2018/06/07,Low
"1,991,000","1,980,800","2,004,200","1,991,500",2018/06/06,Low
"2,003,900","1,994,700","2,004,800","1,995,800",2018/06/05,Low
"2,002,100","1,990,100","2,020,300","2,001,600",2018/06/04,High
"1,969,500","1,969,100","1,990,100","1,990,100",2018/06/03,High
"1,946,200","1,941,600","1,976,200","1,970,400",2018/06/02,High
"1,943,890","1,915,000","1,953,100","1,941,600",2018/06/01,Low
"1,968,100","1,957,700","1,968,800","1,957,700",2018/05/31,Low
"1,967,700","1,961,200","1,973,900","1,969,100",2018/05/30,No Change
"1,994,900","1,954,100","2,008,800","1,969,100",2018/05/29,Low
"1,947,400","1,947,100","1,980,800","1,980,800",2018/05/28,High
"1,903,500","1,902,100","1,938,100","1,930,000",2018/05/27,High
"1,890,800","1,888,500","1,910,400","1,910,400",2018/05/26,High
"1,894,500","1,879,300","1,896,600","1,892,000",2018/05/25,Low
"1,911,600","1,896,100","1,912,500","1,898,600",2018/05/24,Low
"1,880,600","1,879,300","1,907,200","1,905,800",2018/05/23,High
"1,867,700","1,858,500","1,886,200","1,873,500",2018/05/22,High
"1,888,500","1,850,400","1,896,100","1,872,300",2018/05/21,Low
"1,836,800","1,825,900","1,904,600","1,893,600",2018/05/20,High
